Time(s);RTF
39.80;1.01
39.90;0.99
40.00;0.99
40.10;0.42
40.20;10.42
40.30;2.58
40.40;0.86
40.50;1.07
40.60;1.00
40.70;0.94
40.80;0.98
40.90;1.04
41.00;0.94
41.10;1.11
41.20;0.98
41.30;1.06
41.40;0.94
41.50;1.02
41.60;0.96
41.70;1.00
41.80;1.04
41.90;0.98
42.00;0.97
42.10;1.02
42.20;1.02
42.30;0.98
42.40;1.02
42.50;1.01
42.60;0.99
42.70;0.98
42.80;0.99
42.90;1.02
43.00;1.01
43.10;0.96
43.20;1.06
43.30;0.98
43.40;1.02
43.50;0.89
43.60;1.14
43.70;0.99
43.80;1.00
43.90;1.00
44.00;1.03
44.10;0.96
44.20;1.03
44.30;0.99
44.40;0.98
44.50;1.04
44.60;0.95
44.70;1.07
44.80;0.95
44.90;1.01
45.00;1.04
45.10;0.96
45.20;1.01
45.30;0.99
45.40;0.95
45.50;1.10
45.60;0.93
45.70;1.03
45.80;0.97
45.90;0.99
46.00;1.03
46.10;0.98
46.20;0.99
46.30;1.04
46.40;0.93
46.50;1.05
46.60;0.99
46.70;1.06
46.80;0.95
46.90;1.04
47.00;0.94
47.10;1.05
47.20;1.08
47.30;0.90
47.40;1.03
47.50;1.01
47.60;0.99
47.70;0.98
47.80;1.05
47.90;0.98
48.00;1.01
48.10;0.98
48.20;1.02
48.30;1.02
48.40;0.97
48.50;0.97
48.60;1.10
48.70;1.17
48.80;1.10
48.90;1.01
49.00;0.99
49.10;1.01
49.20;0.99
49.30;1.01
49.40;0.99
49.50;0.97
49.60;1.04
49.70;1.00
49.80;1.00
49.90;1.00
50.00;0.98
50.10;1.00
50.20;1.01
50.30;0.99
50.40;1.00
50.50;1.00
50.60;0.99
50.70;1.02
50.80;1.00
50.90;1.00
51.00;1.02
51.10;1.00
51.20;0.99
51.30;1.00
51.40;0.99
51.50;1.00
51.60;1.01
51.70;0.97
51.80;1.05
51.90;1.00
52.00;0.98
52.10;0.99
52.20;1.00
52.30;1.00
52.40;1.02
52.50;1.01
52.60;0.99
52.70;1.01
52.80;0.98
52.90;1.00
53.00;1.00
53.10;1.01
53.20;0.99
53.30;1.00
53.40;1.01
53.50;1.02
53.60;1.00
53.70;1.00
53.80;0.98
53.90;1.02
54.00;0.99
54.10;0.98
54.20;1.03
54.30;0.99
54.40;1.00
54.50;0.96
54.60;1.06
54.70;1.00
54.80;0.98
54.90;0.99
55.00;0.98
55.10;1.04
55.20;0.98
55.30;1.01
55.40;1.01
55.50;0.98
55.60;1.01
55.70;0.99
55.80;1.00
55.90;1.01
56.00;1.01
56.10;1.00
56.20;1.00
56.30;1.00
56.40;0.99
56.50;0.99
56.60;1.01
56.70;0.98
56.80;1.04
56.90;1.00
57.00;0.99
57.10;1.02
57.20;1.00
57.30;0.99
57.40;1.00
57.50;1.01
57.60;0.99
57.70;1.01
57.80;0.98
57.90;1.01
58.00;1.01
58.10;1.01
58.20;1.00
58.30;1.00
58.40;1.00
58.50;1.00
58.60;0.97
58.70;1.02
58.80;0.99
58.90;1.00
59.00;1.00
59.10;1.01
59.20;0.99
59.30;1.00
59.40;0.99
59.50;1.02
59.60;1.00
59.70;1.00
59.80;0.99
59.90;1.00
60.00;0.99
60.10;1.03
60.20;0.99
60.30;1.01
60.40;1.01
60.50;0.99
60.60;0.99
60.70;1.00
60.80;1.00
60.90;0.99
61.00;1.00
61.10;1.01
61.20;0.99
61.30;1.01
61.40;1.00
61.50;1.00
61.60;0.99
61.70;1.01
61.80;0.98
61.90;0.99
62.00;1.01
62.10;1.00
62.20;1.02
62.30;1.00
62.40;0.99
62.50;1.01
62.60;1.00
62.70;0.98
62.80;1.00
62.90;1.01
63.00;1.01
63.10;1.00
63.20;1.01
63.30;0.98
63.40;1.01
63.50;1.02
63.60;1.00
63.70;0.99
63.80;1.01
63.90;0.99
64.00;0.98
64.10;1.00
64.20;0.99
64.30;1.00
64.40;1.01
64.50;1.02
64.60;1.01
64.70;0.99
64.80;1.00
64.90;0.99
65.00;1.01
65.10;0.99
65.20;0.99
65.30;1.03
65.40;0.98
65.50;1.03
65.60;0.97
65.70;1.00
65.80;1.01
65.90;1.01
66.00;1.00
66.10;0.99
66.20;0.98
66.30;1.00
66.40;1.03
66.50;0.99
66.60;1.01
66.70;1.00
66.80;1.00
66.90;1.00
67.00;0.99
67.10;1.01
67.20;0.99
67.30;1.00
67.40;1.01
67.50;1.00
67.60;0.98
67.70;1.02
67.80;1.00
67.90;0.99
68.00;1.00
68.10;1.01
68.20;0.99
68.30;0.99
68.40;1.01
68.50;1.01
68.60;0.99
68.70;1.00
68.80;0.99
68.90;1.00
69.00;0.99
69.10;0.99
69.20;1.01
69.30;1.01
69.40;0.99
69.50;1.01
69.60;1.00
69.70;1.00
69.80;0.99
69.90;1.01
70.00;1.00
70.10;1.01
70.20;1.02
70.30;0.99
70.40;0.98
70.50;1.02
70.60;1.00
70.70;1.00
70.80;1.00
70.90;1.00
71.00;0.99
71.10;1.01
71.20;0.99
71.30;1.01
71.40;0.99
71.50;1.01
71.60;0.99
71.70;1.00
71.80;0.99
71.90;1.02
72.00;0.99
72.10;1.01
72.20;1.00
72.30;1.00
72.40;1.00
72.50;0.98
72.60;1.01
72.70;0.99
72.80;1.00
72.90;1.01
73.00;0.99
73.10;1.01
73.20;0.99
73.30;1.00
73.40;1.02
73.50;1.01
73.60;0.98
73.70;1.01
73.80;1.00
73.90;0.98
74.00;1.00
74.10;1.01
74.20;1.01
74.30;1.00
74.40;1.00
74.50;1.00
74.60;1.00
74.70;0.99
74.80;1.00
74.90;1.01
75.00;1.00
75.10;0.99
75.20;1.01
75.30;0.99
75.40;1.00
75.50;1.00
75.60;1.00
75.70;0.98
75.80;1.01
75.90;1.02
76.00;0.98
76.10;1.01
76.20;1.00
76.30;1.01
76.40;1.00
76.50;0.99
76.60;0.98
76.70;1.03
76.80;0.98
76.90;1.01
77.00;1.00
77.10;1.00
77.20;1.00
77.30;1.00
77.40;1.00
77.50;0.99
77.60;1.01
77.70;0.99
77.80;1.01
77.90;1.01
78.00;0.99
78.10;1.00
78.20;1.00
78.30;1.00
78.40;1.01
78.50;0.97
78.60;1.01
78.70;0.99
78.80;1.03
78.90;0.99
79.00;0.99
79.10;1.02
79.20;0.99
79.30;1.00
79.40;1.01
79.50;1.00
79.60;1.00
79.70;1.01
79.80;1.00
79.90;0.98
80.00;1.01
80.10;0.99
80.20;1.01
80.30;1.01
80.40;0.99
80.50;0.99
80.60;1.00
80.70;1.01
80.80;1.00
80.90;0.99
81.00;1.03
81.10;1.00
81.20;0.98
81.30;1.00
81.40;1.01
81.50;1.01
81.60;1.00
81.70;1.00
81.80;1.01
81.90;0.99
82.00;1.00
82.10;0.99
82.20;1.00
82.30;1.01
82.40;1.01
82.50;1.00
82.60;1.00
82.70;0.99
82.80;0.99
82.90;1.03
83.00;0.98
83.10;1.02
83.20;0.98
83.30;1.00
83.40;1.01
83.50;0.99
83.60;1.02
83.70;0.98
83.80;1.01
83.90;0.99
84.00;1.00
84.10;1.01
84.20;0.98
84.30;1.02
84.40;0.99
84.50;1.02
84.60;0.99
84.70;0.99
84.80;0.92
84.90;1.08
85.00;1.01
85.10;0.99
85.20;0.99
85.30;1.03
85.40;0.99
85.50;0.99
85.60;1.00
85.70;1.00
85.80;1.02
85.90;0.99
86.00;1.02
86.10;1.01
86.20;0.99
86.30;1.00
86.40;0.97
86.50;1.02
86.60;1.02
86.70;0.97
86.80;1.04
86.90;1.00
87.00;0.99
87.10;0.99
87.20;1.00
87.30;1.00
87.40;1.01
