Time(s);RTF
39.80;0.53
39.90;0.55
40.00;0.57
40.10;0.63
40.20;0.65
40.30;0.57
40.40;0.54
40.50;0.61
40.60;0.61
40.70;0.59
40.80;0.53
40.90;0.61
41.00;0.52
41.10;0.53
41.20;0.53
41.30;0.44
41.40;0.42
41.50;0.46
41.60;0.56
41.70;0.56
41.80;0.59
41.90;0.64
42.00;0.52
42.10;0.49
42.20;0.57
42.30;0.53
42.40;0.47
42.50;0.47
42.60;0.52
42.70;0.51
42.80;0.58
42.90;0.63
43.00;0.54
43.10;0.67
43.20;0.83
43.30;0.87
43.40;0.68
43.50;0.95
43.60;0.76
43.70;0.60
43.80;0.70
43.90;0.68
44.00;0.67
44.10;0.66
44.20;0.78
44.30;0.83
44.40;0.72
44.50;0.72
44.60;0.71
44.70;0.72
44.80;0.86
44.90;0.77
45.00;0.62
45.10;0.67
45.20;0.80
45.30;0.88
45.40;0.84
45.50;0.75
45.60;0.65
45.70;0.66
45.80;0.62
45.90;0.70
46.00;0.60
46.10;0.62
46.20;0.62
46.30;0.67
46.40;0.56
46.50;0.71
46.60;0.63
46.70;0.64
46.80;0.60
46.90;0.60
47.00;0.62
47.10;0.29
47.20;0.38
47.30;0.58
47.40;0.49
47.50;0.53
47.60;0.53
47.70;0.33
47.80;0.50
47.90;0.62
48.00;0.53
48.10;0.47
48.20;0.42
48.30;0.43
48.40;0.56
48.50;0.76
48.60;0.81
48.70;0.58
48.80;0.54
48.90;0.60
49.00;0.53
49.10;0.41
49.20;0.44
49.30;0.55
49.40;0.52
49.50;0.59
49.60;0.38
49.70;0.52
49.80;0.81
49.90;0.88
50.00;0.80
50.10;0.72
50.20;0.79
50.30;0.94
50.40;0.88
50.50;0.67
50.60;0.69
50.70;0.88
50.80;0.80
50.90;0.95
51.00;0.85
51.10;0.80
51.20;0.63
51.30;0.67
51.40;0.77
51.50;0.82
51.60;0.77
51.70;0.90
51.80;0.79
51.90;0.83
52.00;0.84
52.10;0.91
52.20;0.88
52.30;0.86
52.40;0.69
52.50;0.79
52.60;0.49
52.70;0.49
52.80;0.63
52.90;0.69
53.00;0.74
53.10;0.71
53.20;0.78
53.30;0.75
53.40;0.76
53.50;0.71
53.60;0.83
53.70;0.89
53.80;0.72
53.90;0.79
54.00;0.96
54.10;0.86
54.20;0.70
